DARPA_1	DARPA_10	DARPA_11	DARPA_12	DARPA_13	DARPA_14	DARPA_15	DARPA_16	DARPA_17	DARPA_18	DARPA_19	DARPA_2	DARPA_20	DARPA_3	DARPA_31	DARPA_32	DARPA_33	DARPA_34	DARPA_35	DARPA_36
23.212	23.491	22.379	20.854	24.062	25.765	23.244	19.015	19.966967	18.234	21.57	19.906906	24.993	21.204	18.964	20.127	18.974	18.430431	18.79	21.932
23.315	23.543	22.39	20.914	24.115	25.857	23.277	19.093	20.004004	18.296	21.667	19.938938	25.117	21.258	19.021	20.191	19.016	18.522522	18.883	21.977
23.419	23.625	22.512	21.0	24.243	26.026	23.369	19.186	20.14014	18.383	21.75	20.095095	25.246	21.379	19.077	20.26	19.028	18.611612	18.943	22.044
23.6	23.776	22.709	21.099	24.325	26.151	23.535	19.334	20.231232	18.48	21.873	20.181181	25.408	21.431	19.141	20.333	19.089	18.667667	19.002	22.131
23.753	23.896	22.886	21.207	24.39	26.292	23.68	19.485	20.432432	18.57	21.987	20.266266	25.648	21.557	19.187	20.364	19.141	18.727728	19.066	22.215
23.798	23.954	22.985	21.288	24.463	26.361	23.739	19.536	20.482483	18.61	22.12	20.406406	25.727	21.687	19.26	20.463	19.223	18.807808	19.128	22.316
23.958	24.057	23.059	21.389	24.57	26.507	23.868	19.617	20.601603	18.701	22.189	20.5005	25.837	21.81	19.299	20.528	19.314	18.86987	19.182	22.411
23.984	24.144	23.162	21.462	24.715	26.651	24.017	19.713	20.694695	18.812	22.296	20.592592	25.903	21.916	19.337	20.612	19.423	18.956957	19.267	22.538
24.125	24.25	23.277	21.549	24.834	26.864	24.186	19.857	20.846848	18.861	22.412	20.738739	25.965	21.967	19.435	20.672	19.462	19.062061	19.283	22.588
24.122	24.354	23.347	21.599	24.937	26.892	24.305	19.954	20.882883	18.943	22.554	20.85986	26.147	22.018	19.47	20.749	19.555	19.1001	19.323	22.621
24.248	24.452	23.457	21.675	25.036	27.034	24.388	20.112	20.905907	19.043	22.645	20.910912	26.226	22.112	19.623	20.881	19.675	19.15015	19.388	22.67
24.302	24.567	23.569	21.783	25.148	27.128	24.553	20.23	21.068068	19.175	22.756	21.0	26.392	22.251	19.688	20.936	19.798	19.226227	19.454	22.714
24.378	24.653	23.571	21.884	25.295	27.255	24.61	20.31	21.098099	19.239	22.797	21.07007	26.369	22.387	19.782	21.051	19.922	19.381382	19.538	22.805
