PID4413_Tumor_RNA		PID4418_Tumor_insulinoma_RNA		PID4447_Tumor_RNA		PID4468_Tumor_MTC_RNA		PID4596_13006_Tumor_RNA		PT087_Primary_RNA		PT087_Recurrent_RNA		PT165_Primary_RNA		PT165_Recurrent_RNA		PT208_P1_Tumor_RNA		PT208_P2_Tumor_RNA		PT211_S1_Tumor_RNA		PT211_S2_Tumor_RNA		PT218_Primary_RNA	
71.256		75.121124		90.32833		179.67567		76.47648		27.546547		26.501		19.637638		17.48497		124.075		186.839		69.396		45.05		13.486486	
71.532		75.91892		90.927925		180.77177		76.47147		27.72973		26.631		19.717718		17.619238		124.391		187.249		69.707		45.229		13.546547	
71.82		76.21221		91.39539		181.71571		76.23424		27.806807		26.77		19.80981		17.659319		124.637		187.665		69.845		45.36		13.602603	
72.093		76.78579		91.926926		182.42743		76.092094		27.917917		26.817		19.891891		17.727455		124.797		187.857		69.971		45.391		13.677678	
72.472		77.05005		92.461464		183.6977		75.84485		28.066067		26.86		20.044044		17.746492		124.963		188.337		70.094		45.522		13.735736	
72.809		77.55255		92.89089		184.76877		75.647644		28.036072		26.956		20.029058		17.825651		125.199		188.974		70.175		45.663		13.810811	
72.916		78.01902		93.247246		185.52753		75.7017		28.07515		27.105		20.135271		17.88978		125.419		189.061		70.172		45.803		13.882883	
73.31		78.48649		93.63163		186.13814		75.52853		28.188377		27.302		20.202404		18.023046		125.704		189.473		70.45		45.947		13.895896	
73.606		79.112114		93.97097		186.997		75.40841		28.272545		27.421		20.30461		18.127254		125.86		189.66		70.454		46.099		13.856857	
73.866		79.58959		94.25025		187.68268		75.15816		28.403807		27.538		20.426853		18.18036		126.402		189.881		70.458		46.164		13.9159155	
74.39		80.13714		94.92593		189.009		75.13814		28.61423		27.651		20.507013		18.236473		126.712		190.201		70.673		46.332		13.968969	
74.641		80.316315		95.35936		188.74074		75.05105		28.67535		27.787		20.551102		18.306614		126.85		190.481		70.934		46.402		14.096096	
74.92		82.98999		95.86987		189.47348		75.11511		28.829659		27.909		20.59519		18.350702		127.84		191.046		71.158		46.539		14.137137	
75.212		83.54254		96.26427		190.62462		75.1051		28.963928		27.974		20.697395		18.412827		128.144		191.281		71.366		46.728		14.180181	
75.538		84.317314		96.682686		190.75375		75.21522		29.127254		28.032		20.767534		18.491983		128.792		191.781		71.604		46.733		14.242242	
75.802		85.18318		97.325325		191.78778		75.29029		29.212425		28.032		20.905811		18.628256		129.43		191.895		71.915		46.847		14.323323	
76.002		85.4985		97.654655		191.76276		75.34234		29.298597		28.021		20.963928		18.79058		129.989		191.698		71.94		46.808		14.3293295	
76.433		85.82983		97.967964		192.53152		75.48448		29.447895		28.121		21.04509		18.856714		130.15		191.658		72.208		46.997		14.395395	
76.733		86.16717		98.10811		192.8949		75.54455		29.532064		28.293		21.123247		18.91483		130.531		191.678		72.316		47.156		14.429429	
76.938		86.46947		98.44544		193.40741		75.63364		29.65531		28.392		21.19539		19.059118		130.986		192.116		72.547		47.374		14.546547	
77.311		86.57458		98.85686		194.35635		75.74975		29.728456		28.491		21.328657		19.166332		131.221		192.052		72.697		47.487		14.556557	
77.718		87.11712		99.18218		194.65666		75.672676		29.815632		28.597		21.452906		19.21042		131.349		192.319		72.915		47.712		14.602603	
78.042		87.53454		99.56256		195.66266		75.77377		29.912827		28.728		21.522043		19.302605		131.593		193.305		73.291		47.88		14.615616	
78.397		87.95195		99.94094		196.53854		75.75375		29.995993		28.843		21.542084		19.301603		132.179		193.789		73.647		48.107		14.67968	
78.627		88.14514		100.15315		197.26227		75.936935		30.092184		28.857		21.604208		19.383768		132.536		194.247		73.907		48.372		14.721722	
78.781		88.45545		100.40841		197.83984		76.11612		30.13026		28.972		21.648296		19.441883		132.995		194.145		74.019		48.467		14.72973	
79.169		88.635635		100.64064		198.85686		76.0971		30.362726		29.13		21.769539		19.548096		133.731		194.323		74.703		48.71		14.814815	
79.555		88.605606		100.71972		199.71172		76.08008		30.450901		29.212		21.845692		19.58517		133.917		194.782		75.101		48.822		14.864865	
79.8		88.81381		101.07708		199.97098		76.36036		30.529058		29.34		21.926853		19.63026		134.468		194.931		75.492		49.028		14.861862	
80.317		89.257256		101.61862		199.73273		76.57958		30.626253		29.474		22.017035		19.684368		134.926		195.512		75.628		49.279		14.984985	
80.575		89.5045		104.24224		200.53253		76.67067		30.733467		29.628		22.103207		19.752504		135.564		196.188		77.092		49.46		15.032032	
80.863		89.78879		104.81982		200.82983		76.85786		30.876753		29.752		22.113226		19.803608		136.142		196.822		77.439		49.615		15.1081085	
81.029		89.975975		105.336334		201.91292		76.86086		31.047094		29.89		22.257515		19.88978		136.591		197.861		77.428		49.772		15.115115	
81.147		90.32132		105.98098		202.18118		76.96096		31.056112		30.013		22.325651		19.925852		137.262		198.282		77.94		49.867		15.165165	
81.362		90.50651		106.45445		202.72873		76.91392		31.093185		30.129		22.37475		20.021042		137.944		198.779		78.379		50.185		15.222222	
81.592		90.810814		106.956955		203.53253		77.026024		31.271544		30.319		22.46994		20.12926		138.766		199.335		78.572		50.29		15.284285	
81.873		91.23223		107.56657		203.2032		77.11812		31.308617		30.476		22.544088		20.227455		139.369		200.317		78.752		50.257		15.339339	
82.178		91.45045		107.82382		203.64064		77.12913		31.48497		30.629		22.639278		20.336674		140.177		200.8		79.048		50.477		15.375376	
82.372		91.94495		108.1041		204.32533		77.18719		31.651302		30.699		22.707415		20.492987		140.695		201.224		79.186		50.577		15.442443	
82.931		92.353355		108.45345		204.97397		77.34735		31.905811		30.804		22.741484		20.6002		141.425		202.192		79.404		50.813		15.576576	
83.602		92.76977		108.87387		205.17317		77.64365		32.071144		31.076		22.801603		20.780561		142.723		203.101		79.475		51.128		15.67968	
84.002		92.945946		109.326324		204.73674		77.683685		32.221443		31.171		22.935871		20.945892		142.889		203.483		79.625		51.311		15.685686	
84.192		93.25025		109.48248		205.6096		77.9009		32.323647		31.297		23.11423		21.066132		143.705		204.339		79.845		51.456		15.777778	
84.455		93.44945		109.81481		205.27228		78.10711		32.517033		31.333		23.153307		21.019037		144.415		204.584		80.167		51.521		15.842843	
84.712		94.26527		110.05806		205.44444		78.064064		32.59419		31.644		23.238478		21.028055		144.977		204.731		80.458		51.742		15.906907	
85.108		94.47347		110.26427		205.9059		78.27127		32.717434		31.764		23.295591		21.072144		145.38		204.989		80.598		51.83		15.952953	
85.43		94.993996		110.714714		206.37238		78.5025		32.84369		31.916		23.436874		21.238478		145.939		205.741		80.697		52.072		16.047047	
85.897		95.15415		111.05105		206.83784		78.83083		33.024048		32.087		23.541082		21.27054		146.278		206.072		81.003		52.275		16.184185	
86.294		95.27928		111.28128		207.68068		79.06106		33.166332		32.114		23.671343		21.379759		146.823		206.441		81.381		52.766		16.292292	
86.597		95.51151		111.684685		208.73674		79.38739		33.287575		32.208		23.720442		21.3998		147.322		207.338		81.545		52.946		16.33033	
86.932		95.73874		112.11311		209.2012		79.71171		33.423847		32.355		23.841682		21.492987		147.789		207.856		82.066		53.121		16.426426	
87.284		95.97298		112.384384		210.03703		79.917915		33.491985		32.441		23.942886		21.561123		148.313		208.875		82.563		53.354		16.454454	
87.525		96.32933		112.66867		210.64365		80.04805		33.682365		32.536		24.051102		21.69439		148.828		209.128		82.676		53.581		16.535536	
88.087		96.42442		113.2002		211.24124		79.94294		33.82465		32.701		24.15531		21.801603		149.461		209.865		83.0		53.878		16.575575	
88.434		96.79379		113.81682		212.14915		79.92292		33.966934		32.822		24.233467		21.906815		149.871		210.646		83.321		54.101		16.68969	
88.819		96.93394		114.363365		211.71472		79.81181		34.13527		32.879		24.295591		21.973948		150.299		211.268		83.442		54.284		16.755756	
89.018		97.02803		114.46747		212.94295		80.07607		34.20541		32.998		24.368738		22.154308		150.552		211.762		83.667		54.39		16.837837	
89.166		97.17518		114.82983		213.38739		80.208206		34.34469		32.974		24.492987		22.292585		151.299		212.235		84.045		54.447		16.913914	
89.575		97.44444		115.35035		214.75876		80.37037		34.50501		33.064		24.586172		22.42485		151.595		213.084		84.249		54.598		16.920921	
89.795		97.966965		115.7988		214.47147		80.4054		34.67936		33.163		24.682365		22.546093		151.649		214.046		84.72		54.799		17.01001	
90.1		98.12212		116.024025		214.60161		80.644646		34.72445		33.272		24.776552		22.683367		151.836		214.478		84.781		54.914		17.068068	
90.474		98.394394		116.315315		215.26727		80.80581		34.787575		33.445		24.814629		22.768538		152.018		215.262		85.199		54.963		17.11912	
90.779		98.57157		116.75876		216.21722		81.07007		34.94489		33.621		24.967936		22.82465		152.141		215.54		85.527		55.162		17.206205	
91.241		98.790794		116.81481		216.85686		81.05706		34.898796		33.661		24.946894		22.90982		151.792		215.675		85.666		55.32		17.25025	
91.286		99.26326		117.13914		217.55556		81.3013		34.953907		33.81		25.066132		23.043087		152.13		216.371		85.863		55.376		17.364365	
